CODIGO;DESCRIPCION GENERAL;DESCRIPCION DE ELECCION;DESCRIPCION ESPECIFICA;PRECIO
29;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes N° 1 x 5 Kg. Esc. GARRAFA                                            ;$ 47.165
30;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes N° 2 x 5 Kg. Esc. GARRAFA                                           ;$ 42.471
31;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Nº 3 x 5 Kg. Esc. GARRAFA                                    ;$ 38.193
1068;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Nº 4 x 5 Kg. Esc. GARRAFA                                  ;$ 33.916
9;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Descarozadas N° 00 x 4 Kg. Esc. GARRAFA ;$ 53.930
43;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Descarozadas Nº 0 x 4 Kg. Esc. GARRAFA ;$ 49.008
49;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes en Rodajas x 4 Kg. Esc. GARRAFA                                    ;$ 43.640
1116;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Rotas x 5 Kg. Esc. GARRAFA;$ 36.207
55;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Rellenas con Pimiento Morron x 5 Kg. Esc. GARRAFA ;$ 59.778
6;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes Condimentadas en Aceite Nº 00 x 5 Kg. Esc. GARRAFA ;$ 74.729
32;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN GARRAFA X 5 KG. ;Aceitunas Negras Naturales N° 000 x 5 Kg. Esc. GARRAFA ;$ 90.868
35;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN GARRAFA X 5 KG. ;Aceitunas Negras Naturales N° 00 x 5 Kg. Esc. GARRAFA ;$ 85.027
38;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN GARRAFA X 5 KG. ;Aceitunas Negras Naturales N° 0 x 5 Kg. Esc. GARRAFA ;$ 78.460
